PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2015;2016;2017;2018;2019
Gelderland;0268;Nijmegen;reguliere inst.;postmaster;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68535;M Leraar Voorbereidend Hoger Onderwijs in de Mens- en Maatschappijwetenschappen;deeltijd onderwijs;man;0;0;0;1;4
Gelderland;0268;Nijmegen;reguliere inst.;postmaster;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68535;M Leraar Voorbereidend Hoger Onderwijs in de Mens- en Maatschappijwetenschappen;deeltijd onderwijs;vrouw;0;0;0;0;2
Gelderland;0268;Nijmegen;reguliere inst.;postmaster;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68535;M Leraar Voorbereidend Hoger Onderwijs in de Mens- en Maatschappijwetenschappen;voltijd onderwijs;man;0;0;0;23;11
Gelderland;0268;Nijmegen;reguliere inst.;postmaster;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68535;M Leraar Voorbereidend Hoger Onderwijs in de Mens- en Maatschappijwetenschappen;voltijd onderwijs;vrouw;0;0;0;13;24
Gelderland;0268;Nijmegen;reguliere inst.;postmaster;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68536;M Educatie in de Taal- en cultuurwetenschappen;voltijd onderwijs;man;0;0;0;4;6
Gelderland;0268;Nijmegen;reguliere inst.;postmaster;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68536;M Educatie in de Taal- en cultuurwetenschappen;voltijd onderwijs;vrouw;0;0;0;4;7
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);50016;B Communicatie en Life Sciences;voltijd onderwijs;man;12;15;17;27;24
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);50016;B Communicatie en Life Sciences;voltijd onderwijs;vrouw;51;41;56;70;77
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);50018;B Gezondheid en Maatschappij;voltijd onderwijs;man;32;23;18;23;17
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);50018;B Gezondheid en Maatschappij;voltijd onderwijs;vrouw;202;208;199;190;169
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);50100;B International Land and Water Management;voltijd onderwijs;man;133;154;161;182;184
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);50100;B International Land and Water Management;voltijd onderwijs;vrouw;78;95;102;124;114
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);50101;B Economie en Beleid;voltijd onderwijs;man;85;103;124;128;130
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);50101;B Economie en Beleid;voltijd onderwijs;vrouw;45;50;64;63;63
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56219;B Bos- en Natuurbeheer;voltijd onderwijs;man;123;129;143;140;162
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56219;B Bos- en Natuurbeheer;voltijd onderwijs;vrouw;96;107;117;132;135
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56283;B Environmental Sciences;voltijd onderwijs;man;63;69;83;92;113
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56283;B Environmental Sciences;voltijd onderwijs;vrouw;46;69;85;118;167
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56831;B Agrotechnologie;voltijd onderwijs;man;106;124;125;143;149
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56831;B Agrotechnologie;voltijd onderwijs;vrouw;12;13;17;20;24
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56835;B Plantenwetenschappen;voltijd onderwijs;man;105;114;154;175;178
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56835;B Plantenwetenschappen;voltijd onderwijs;vrouw;72;90;113;125;129
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56836;B Bedrijfs- en Consumentenwetenschappen;voltijd onderwijs;man;254;307;320;300;270
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56836;B Bedrijfs- en Consumentenwetenschappen;voltijd onderwijs;vrouw;271;291;314;283;250
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56837;B Internationale Ontwikkelingsstudies;voltijd onderwijs;man;84;75;76;67;53
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56837;B Internationale Ontwikkelingsstudies;voltijd onderwijs;vrouw;229;238;226;209;205
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56841;B Biotechnologie;voltijd onderwijs;man;209;261;252;254;229
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56841;B Biotechnologie;voltijd onderwijs;vrouw;90;108;117;111;99
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56848;B Landschapsarchitectuur en ruimtelijke planning;voltijd onderwijs;man;115;119;133;139;161
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56848;B Landschapsarchitectuur en ruimtelijke planning;voltijd onderwijs;vrouw;82;98;110;120;137
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56849;B Animal Sciences;voltijd onderwijs;man;81;69;72;92;97
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56849;B Animal Sciences;voltijd onderwijs;vrouw;255;253;253;261;300
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56860;B Biologie;voltijd onderwijs;man;254;289;317;326;325
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56860;B Biologie;voltijd onderwijs;vrouw;213;233;259;269;270
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56868;B Voeding en Gezondheid;voltijd onderwijs;man;67;63;57;54;52
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56868;B Voeding en Gezondheid;voltijd onderwijs;vrouw;394;443;451;475;433
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56968;B Soil, Water, Atmosphere;voltijd onderwijs;man;143;165;165;177;175
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56968;B Soil, Water, Atmosphere;voltijd onderwijs;vrouw;72;74;89;99;109
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56973;B Food Technology;voltijd onderwijs;man;154;166;203;223;219
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);56973;B Food Technology;voltijd onderwijs;vrouw;253;297;341;350;340
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);59304;B Moleculaire Levenswetenschappen;voltijd onderwijs;man;124;157;159;152;163
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);59304;B Moleculaire Levenswetenschappen;voltijd onderwijs;vrouw;84;87;99;98;104
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;sectoroverstijgend;sectoroverstijgend;55001;B Tourism (joint degree);voltijd onderwijs;man;9;6;6;6;2
Gelderland;0289;Wageningen;reguliere inst.;bachelor;21PI;Wageningen University;sectoroverstijgend;sectoroverstijgend;55001;B Tourism (joint degree);voltijd onderwijs;vrouw;25;18;20;19;2
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60100;M Earth and Environment;voltijd onderwijs;man;108;123;128;126;123
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60100;M Earth and Environment;voltijd onderwijs;vrouw;68;83;75;74;79
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60103;M Development and Rural Innovation;voltijd onderwijs;man;28;28;27;28;27
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60103;M Development and Rural Innovation;voltijd onderwijs;vrouw;23;34;44;52;52
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60104;M International Land- and Water Management;voltijd onderwijs;man;84;90;79;73;76
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60104;M International Land- and Water Management;voltijd onderwijs;vrouw;59;61;68;76;81
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60105;M Plant Biotechnology;voltijd onderwijs;man;54;68;81;89;85
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60105;M Plant Biotechnology;voltijd onderwijs;vrouw;33;41;50;52;63
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60106;M Bioinformatics;voltijd onderwijs;man;34;31;28;46;63
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60106;M Bioinformatics;voltijd onderwijs;vrouw;22;26;36;40;39
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60107;M Climate Studies;voltijd onderwijs;man;44;49;47;46;59
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60107;M Climate Studies;voltijd onderwijs;vrouw;28;33;53;60;78
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60108;M Geo-information Science;voltijd onderwijs;man;71;81;97;107;102
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60108;M Geo-information Science;voltijd onderwijs;vrouw;30;35;41;43;53
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60109;M Food Quality Management;voltijd onderwijs;man;22;21;28;33;32
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60109;M Food Quality Management;voltijd onderwijs;vrouw;62;60;63;76;84
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60110;M Urban Environmental Management;voltijd onderwijs;man;62;59;53;43;52
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60110;M Urban Environmental Management;voltijd onderwijs;vrouw;73;78;87;80;82
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60111;M Tourism, Society and Environment;voltijd onderwijs;man;17;15;17;16;20
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60111;M Tourism, Society and Environment;voltijd onderwijs;vrouw;51;51;47;53;55
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60112;M Food Safety;voltijd onderwijs;man;38;48;44;46;44
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60112;M Food Safety;voltijd onderwijs;vrouw;112;141;144;141;122
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60303;M Molecular Life Sciences;voltijd onderwijs;man;62;57;61;75;84
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60303;M Molecular Life Sciences;voltijd onderwijs;vrouw;53;51;47;46;51
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60804;M Aquaculture and Marine Resource Management;voltijd onderwijs;man;59;68;63;62;79
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60804;M Aquaculture and Marine Resource Management;voltijd onderwijs;vrouw;50;58;62;58;60
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60810;M Environmental Sciences;voltijd onderwijs;man;121;138;147;136;159
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60810;M Environmental Sciences;voltijd onderwijs;vrouw;157;179;193;201;228
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60961;M Biobased Sciences;voltijd onderwijs;man;0;0;0;9;42
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);60961;M Biobased Sciences;voltijd onderwijs;vrouw;0;0;0;6;22
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66219;M Forest and Nature Conservation;voltijd onderwijs;man;121;130;146;156;159
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66219;M Forest and Nature Conservation;voltijd onderwijs;vrouw;111;122;136;151;170
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66652;M Communication, Health and Life Sciences;voltijd onderwijs;man;20;23;25;22;19
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66652;M Communication, Health and Life Sciences;voltijd onderwijs;vrouw;153;156;146;156;148
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66831;M Biosystems Engineering;voltijd onderwijs;man;72;70;89;95;98
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66831;M Biosystems Engineering;voltijd onderwijs;vrouw;10;12;13;20;20
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66835;M Plant Sciences;voltijd onderwijs;man;169;191;201;222;223
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66835;M Plant Sciences;voltijd onderwijs;vrouw;127;158;175;192;212
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66836;M Management, Economics and Consumer Studies;voltijd onderwijs;man;182;185;182;182;188
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66836;M Management, Economics and Consumer Studies;voltijd onderwijs;vrouw;175;181;179;194;185
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66837;M International Development Studies;voltijd onderwijs;man;63;62;65;67;71
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66837;M International Development Studies;voltijd onderwijs;vrouw;212;202;200;227;219
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66841;M Biotechnology;voltijd onderwijs;man;172;208;215;219;247
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66841;M Biotechnology;voltijd onderwijs;vrouw;113;144;157;152;165
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66848;M Landscape Architecture and Planning;voltijd onderwijs;man;69;63;60;55;61
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66848;M Landscape Architecture and Planning;voltijd onderwijs;vrouw;69;67;68;78;72
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66849;M Animal Sciences;voltijd onderwijs;man;86;92;100;103;106
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66849;M Animal Sciences;voltijd onderwijs;vrouw;256;242;269;290;284
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66860;M Biology;voltijd onderwijs;man;135;137;138;129;136
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66860;M Biology;voltijd onderwijs;vrouw;138;139;145;149;151
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66868;M Nutrition and Health;voltijd onderwijs;man;42;56;61;64;59
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66868;M Nutrition and Health;voltijd onderwijs;vrouw;358;413;461;425;455
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66973;M Food Technology;voltijd onderwijs;man;132;170;193;216;232
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);66973;M Food Technology;voltijd onderwijs;vrouw;301;337;384;429;435
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);69300;M Organic Agriculture;voltijd onderwijs;man;60;74;81;88;90
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);69300;M Organic Agriculture;voltijd onderwijs;vrouw;72;80;97;115;126
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;techniek;n.v.t. (techniek);65021;M Metropolitan Analysis, Design and Engineering (joint degree);voltijd onderwijs;man;0;0;7;29;1
Gelderland;0289;Wageningen;reguliere inst.;master;21PI;Wageningen University;techniek;n.v.t. (techniek);65021;M Metropolitan Analysis, Design and Engineering (joint degree);voltijd onderwijs;vrouw;0;0;11;27;0
Groningen;0014;Groningen;WO kleine univ.;master;00DV;Protestantse Theologische Universiteit;taal en cultuur;n.v.t. (taal en cultuur);60261;M Predikantschap;voltijd onderwijs;man;11;12;12;9;13
Groningen;0014;Groningen;WO kleine univ.;master;00DV;Protestantse Theologische Universiteit;taal en cultuur;n.v.t. (taal en cultuur);60261;M Predikantschap;voltijd onderwijs;vrouw;21;17;25;29;30
Groningen;0014;Groningen;WO kleine univ.;master;00DV;Protestantse Theologische Universiteit;taal en cultuur;n.v.t. (taal en cultuur);60264;M Verdieping;deeltijd onderwijs;man;0;0;2;2;2
Groningen;0014;Groningen;WO kleine univ.;master;00DV;Protestantse Theologische Universiteit;taal en cultuur;n.v.t. (taal en cultuur);60264;M Verdieping;deeltijd onderwijs;vrouw;0;0;0;0;1
Groningen;0014;Groningen;WO kleine univ.;master;00DV;Protestantse Theologische Universiteit;taal en cultuur;n.v.t. (taal en cultuur);60264;M Verdieping;voltijd onderwijs;man;16;15;7;10;10
Groningen;0014;Groningen;WO kleine univ.;master;00DV;Protestantse Theologische Universiteit;taal en cultuur;n.v.t. (taal en cultuur);60264;M Verdieping;voltijd onderwijs;vrouw;8;7;9;7;8
Groningen;0014;Groningen;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);50019;B International Business;voltijd onderwijs;man;647;685;823;951;892
Groningen;0014;Groningen;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);50019;B International Business;voltijd onderwijs;vrouw;470;499;584;704;682
Groningen;0014;Groningen;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);50643;B Accountancy en Controlling;voltijd onderwijs;man;22;0;0;0;0
Groningen;0014;Groningen;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);50643;B Accountancy en Controlling;voltijd onderwijs;vrouw;3;0;0;0;0
Groningen;0014;Groningen;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;man;1030;1053;1064;1109;1236
Groningen;0014;Groningen;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;vrouw;559;542;538;524;586
Groningen;0014;Groningen;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);50750;B Bedrijfseconomie;voltijd onderwijs;man;23;0;0;0;0
Groningen;0014;Groningen;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);50750;B Bedrijfseconomie;voltijd onderwijs;vrouw;4;0;0;0;0
Groningen;0014;Groningen;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;man;729;817;827;814;846
Groningen;0014;Groningen;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;vrouw;242;301;299;332;362
Groningen;0014;Groningen;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);56277;B Technologie Management;voltijd onderwijs;man;11;0;0;0;0
Groningen;0014;Groningen;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);56402;B Fiscale Economie;voltijd onderwijs;man;8;0;0;0;0
Groningen;0014;Groningen;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);56402;B Fiscale Economie;voltijd onderwijs;vrouw;3;0;0;0;0
Groningen;0014;Groningen;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);56833;B Econometrie en Operationele Research;voltijd onderwijs;man;248;237;285;311;313
Groningen;0014;Groningen;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);56833;B Econometrie en Operationele Research;voltijd onderwijs;vrouw;109;110;133;134;147
